station,name,year,month,precipitation_sum,max_temp_mean,min_temp_mean,avg_temp_mean,monthly_price_mean,monthly_price_last
GHM00065467,TAKORADI,2017,1,0.0,89.63888888888889,72.05333333333333,82.5,2193.2278620689654,2129.19
GHM00065465,AXIM,2017,1,1.07,90.63656977942694,74.79761904761905,82.14285714285714,2193.2278620689654,2129.19
GHM00065459,KOFORIDUA,2017,1,0.67,93.26330266955267,69.6125,81.6875,2193.2278620689654,2129.19
GHM00065457,AKIM ODA,2017,1,0.0,93.73333333333333,74.0,83.2,2193.2278620689654,2129.19
GHM00065472,KOTOKA INTERNATIONAL,2017,1,0.47,91.56830206830207,73.34285714285714,82.76190476190476,2193.2278620689654,2129.19
GHM00065445,SEFWI BEKWAI,2017,1,0.08,93.71565276828434,72.73026315789474,83.26315789473684,2193.2278620689654,2129.19
GHM00065442,KUMASI,2017,1,0.0,92.56043956043956,72.46538461538461,82.6923076923077,2193.2278620689654,2129.19
GHM00065439,SUNYANI,2017,1,0.0,93.64871933621933,70.353125,82.4375,2193.2278620689654,2129.19
GHM00065432,WENCHI,2017,1,0.0,94.09916626583293,69.37222222222222,82.66666666666667,2193.2278620689654,2129.19
GHM00065453,HO,2017,1,0.0,94.25674325674325,72.30961538461538,83.07692307692308,2193.2278620689654,2129.19
GHM00065472,KOTOKA INTERNATIONAL,2017,2,2.4400000000000004,91.84396008403361,77.09027777777779,83.3,2034.544620689655,1934.99
GHM00065467,TAKORADI,2017,2,0.16,93.0812324929972,77.0,83.7,2034.544620689655,1934.99
GHM00065465,AXIM,2017,2,2.48,92.08928571428572,77.96296296296296,83.08333333333333,2034.544620689655,1934.99
GHM00065459,KOFORIDUA,2017,2,0.38,95.31182736252396,74.27192982456141,83.26315789473684,2034.544620689655,1934.99
GHM00065457,AKIM ODA,2017,2,0.24,95.2016806722689,75.12301587301587,84.71428571428571,2034.544620689655,1934.99
GHM00065453,HO,2017,2,0.0,94.22450980392156,76.52777777777779,85.4,2034.544620689655,1934.99
GHM00065445,SEFWI BEKWAI,2017,2,0.0,96.34593837535014,76.60802469135803,85.77777777777777,2034.544620689655,1934.99
GHM00065442,KUMASI,2017,2,0.2,95.4683257918552,75.28846153846153,84.46153846153847,2034.544620689655,1934.99
GHM00065439,SUNYANI,2017,2,0.04,96.20261437908498,73.64814814814815,84.75,2034.544620689655,1934.99
GHM00065432,WENCHI,2017,2,0.0,95.45571758115011,73.47058823529412,85.05882352941177,2034.544620689655,1934.99
GHM00065467,TAKORADI,2017,3,1.61,91.3951048951049,77.34848484848486,83.72727272727273,2066.7696428571426,2107.67
GHM00065465,AXIM,2017,3,0.16,91.95714285714286,77.74444444444445,84.46666666666667,2066.7696428571426,2107.67
GHM00065459,KOFORIDUA,2017,3,0.03,94.71100427350427,74.67824074074073,82.66666666666667,2066.7696428571426,2107.67
GHM00065457,AKIM ODA,2017,3,1.69,94.7025147928994,74.78846153846153,84.07692307692308,2066.7696428571426,2107.67
GHM00065472,KOTOKA INTERNATIONAL,2017,3,0.39,92.05003583373149,77.39673913043478,83.6086956521739,2066.7696428571426,2107.67
GHM00065445,SEFWI BEKWAI,2017,3,2.28,94.91379870129869,76.29734848484848,84.54545454545455,2066.7696428571426,2107.67
GHM00065442,KUMASI,2017,3,1.61,93.90998168498169,75.56018518518518,83.05555555555556,2066.7696428571426,2107.67
GHM00065439,SUNYANI,2017,3,2.52,94.63548076923077,75.19583333333334,83.55,2066.7696428571426,2107.67
GHM00065432,WENCHI,2017,3,1.85,94.89826007326008,73.45,84.4,2066.7696428571426,2107.67
GHM00065453,HO,2017,3,0.16,93.2883814102564,76.171875,84.25,2066.7696428571426,2107.67
GHM00065467,TAKORADI,2017,4,0.0,91.86666666666666,76.6482154882155,84.4,1964.4318367346937,1869.4
GHM00065465,AXIM,2017,4,0.0,90.60714285714286,76.258658008658,84.21428571428571,1964.4318367346937,1869.4
GHM00065459,KOFORIDUA,2017,4,4.02,92.5343137254902,75.12902554961379,82.52941176470588,1964.4318367346937,1869.4
GHM00065457,AKIM ODA,2017,4,0.04,93.22619047619048,75.15426887926888,84.14285714285714,1964.4318367346937,1869.4
GHM00065472,KOTOKA INTERNATIONAL,2017,4,0.75,91.51315789473684,76.82145135566189,83.73684210526316,1964.4318367346937,1869.4
GHM00065445,SEFWI BEKWAI,2017,4,0.0,94.28571428571429,76.50185185185185,86.28571428571429,1964.4318367346937,1869.4
GHM00065442,KUMASI,2017,4,0.0,92.92307692307692,75.73843563843563,83.07692307692308,1964.4318367346937,1869.4
GHM00065439,SUNYANI,2017,4,1.3099999999999998,92.41666666666667,75.87533068783068,83.5,1964.4318367346937,1869.4
GHM00065432,WENCHI,2017,4,0.0,93.58333333333333,74.56132154882155,84.1875,1964.4318367346937,1869.4
GHM00065453,HO,2017,4,0.55,92.61111111111111,75.12824274490941,84.66666666666667,1964.4318367346937,1869.4
GHM00065472,KOTOKA INTERNATIONAL,2017,5,0.27,89.57023172905525,75.75857929948839,82.27272727272727,1983.0421348314608,2065.74
GHM00065467,TAKORADI,2017,5,7.889999999999999,88.2547794117647,75.70014880952381,82.3125,1983.0421348314608,2065.74
GHM00065465,AXIM,2017,5,13.489999999999998,89.16294117647058,75.39971861471861,81.85,1983.0421348314608,2065.74
